iter	Passed	Remaining
0	6	1279
1	14	1450
2	22	1458
3	28	1416
4	35	1393
5	43	1397
6	51	1420
7	58	1410
8	66	1420
9	75	1426
10	82	1423
11	90	1412
12	97	1402
13	104	1393
14	115	1421
15	122	1414
16	131	1412
17	138	1402
18	148	1411
19	156	1409
20	163	1394
21	171	1386
22	179	1383
23	187	1372
24	193	1357
25	201	1350
26	208	1337
27	215	1326
28	222	1313
29	230	1305
30	237	1297
31	245	1286
32	254	1285
33	263	1284
34	270	1275
35	278	1267
36	285	1258
37	293	1252
38	301	1243
39	310	1240
40	319	1238
41	328	1234
42	336	1228
43	344	1222
44	353	1218
45	362	1214
46	372	1212
47	380	1204
48	389	1201
49	397	1192
50	405	1185
51	413	1177
52	422	1171
53	431	1167
54	440	1161
55	448	1153
56	457	1148
57	465	1138
58	473	1130
59	481	1123
60	490	1117
61	498	1108
62	506	1101
63	517	1099
64	525	1090
65	533	1083
66	542	1077
67	551	1070
68	560	1063
69	567	1053
70	576	1047
71	585	1040
72	594	1034
73	603	1027
74	611	1019
75	619	1011776	628	1007777	637	997878	647	997979	655	988080	661	97881	678	9778882	679	95883	695	9608884	696	948885	704	938886	712	928887	720	918888	727	908889	735	899990	744	899991	754	889992	761	879993	768	869994	775	859995	783	849996	790	839997	798	839998	805	829999	812	8111100	820	8011101	827	7911102	834	7811103	842	7711104	849	7611105	858	7611106	866	7511107	874	7411108	882	7311109	890	721110	910	729
111	918	7211112	926	7131113	934	7041114	942	6961115	951	6881116	958	6801117	967	6721118	976	6641119	987	6581120	996	6501121	1003	6412122	1012	6123123	1019	6124124	1028	6125125	1036	6126126	1043	6127127	1051	5128128	1058	5129129	1065	5130130	1073	5131131	1080	5132132	1088	5133133	1108	546
134	1115	537
135	1123	528
136	1131	520
137	1138	511
138	1145	502
139	1154	494
140	1161	486
141	1168	477
142	1179	470
143	1188	462
144	1196	453
145	1207	446
146	1217	438
147	1228	431
148	1238	423
149	1249	416
150	1257	408
151	1268	400
152	1279	393
153	1288	384
154	1298	376
155	1310	369
156	1320	361
157	1329	353
158	1341	345
159	1354	338
160	1366	331
161	1375	3162162	1389	315
163	1401	307
164	1413	299
165	1422	2166166	1432	2167167	1444	2168168	1455	2169169	1464	2170170	1474	2171171	1483	2172172	1494	2173173	1504	2174174	1511	217175	1516	2017176	1526	1917177	1534	1817178	1544	1817179	1555	1718180	1564	164
181	1576	155
182	1585	147
183	1594	138
184	1603	129
185	1611	121
186	1620	112
187	1629	104
188	1637	95
189	1645	86
190	1654	77
191	1662	69
192	1668	6193	1681	52
194	1690	43
195	1699	34
196	1707	26
197	1716	17
198	1724	8
199	1731	0
0

