iter	Passed	Remaining
0	143	42851
1	147	21911
2	151	15021
3	157	11633
4	162	9581
5	167	8195
6	172	7235
7	178	6497
8	183	5919
9	188	5461
10	193	5080
11	198	4758
12	203	4498
13	208	4261
14	213	4062
15	219	3897
16	224	3737
17	229	3601
18	234	3474
19	239	3354
20	244	3245
21	264	3337
22	268	3238
23	273	3144
24	278	3064
25	283	2986
26	287	2910
27	292	2844
28	297	2783
29	302	2726
30	308	2675
31	313	2626
32	318	2577
33	323	2531
34	329	2494
35	334	2455
36	339	2416
37	344	2378
38	349	2338
39	354	2303
40	359	2271
41	365	2242
42	370	2216
43	376	2190
44	381	2162
45	386	2131
46	390	2101
47	391	2057
48	395	2027
49	400	2000
50	404	1976
51	408	1950
52	413	1925
53	417	1901
54	422	1880
55	426	1857
56	431	1839
57	436	1820
58	440	1800
59	445	1780
60	449	1760
61	453	1741
62	458	1723
63	462	1705
64	466	1687
65	470	1669
66	475	1652
67	479	1635
68	483	1619
69	488	1604
70	492	1588
71	496	1573
72	501	1559
73	506	1545
74	510	1530
75	514	1516
76	519	1503
77	523	1490
78	527	1476
79	532	1463
80	536	1450
81	540	1438
82	545	1425
83	549	1413
84	554	1401
85	558	1389
86	562	1378
87	567	1367
88	572	1356
89	576	1344
90	580	1334
91	585	1323
92	589	1312
93	594	1302
94	598	1292
95	603	1281
96	607	1271
97	612	1262
98	617	1252
99	621	1243
100	625	1233
101	630	1223
102	634	1213
103	638	1204
104	643	1194
105	647	1185
106	652	1176
107	656	1166
108	660	1157
109	665	1148
110	669	1139
111	673	1130
112	678	1122
113	682	1113
114	687	1105
115	691	1096
116	695	1088
117	700	1080
118	706	1074
119	712	1068
120	716	1060
121	721	1052
122	725	1043
123	729	1035
124	734	1027
125	738	1019
126	742	1011
127	747	1004
128	752	997
129	757	990
130	761	982
131	765	974
132	769	966
133	774	959
134	779	952
135	783	944
136	787	937
137	792	930
138	796	922
139	801	915
140	805	908
141	810	901
142	814	894
143	818	886
144	823	880
145	828	873
146	832	866
147	837	859
148	842	853
149	846	846
150	851	840
151	856	833
152	861	827
153	865	820
154	870	814
155	874	807
156	878	800
157	883	793
158	887	787
159	892	780
160	896	773
161	900	767
162	905	760
163	909	754
164	913	747
165	918	741
166	922	734
167	927	728
168	931	722
169	936	715
170	940	709
171	944	703
172	949	696
173	953	690
174	957	684
175	962	677
176	978	680
177	994	681
178	998	675
179	1003	668
180	1007	662
181	1012	656
182	1016	650
183	1020	643
184	1025	637
185	1029	630
186	1033	624
187	1038	618
188	1042	612
189	1046	606
190	1051	599
191	1055	593
192	1060	587
193	1064	581
194	1068	575
195	1073	569
196	1077	563
197	1081	557
198	1086	551
199	1090	545
200	1095	539
201	1099	533
202	1104	527
203	1108	521
204	1113	515
205	1117	509
206	1121	504
207	1126	498
208	1131	492
209	1136	487
210	1141	481
211	1145	475
212	1150	469
213	1154	463
214	1158	458
215	1163	452
216	1167	446
217	1171	440
218	1176	435
219	1181	429
220	1185	423
221	1190	418
222	1194	412
223	1198	406
224	1203	401
225	1207	395
226	1212	389
227	1216	384
228	1220	378
229	1225	372
230	1229	367
231	1233	361
232	1238	356
233	1242	350
234	1246	344
235	1251	339
236	1255	333
237	1260	328
238	1265	322
239	1269	317
240	1274	311
241	1278	306
242	1282	300
243	1287	295
244	1291	289
245	1295	284
246	1300	278
247	1304	273
248	1308	268
249	1313	262
250	1317	257
251	1322	251
252	1326	246
253	1330	241
254	1335	235
255	1339	230
256	1344	224
257	1350	219
258	1355	214
259	1360	209
260	1364	203
261	1369	198
262	1373	193
263	1378	187
264	1382	182
265	1386	177
266	1391	171
267	1395	166
268	1400	161
269	1404	156
270	1408	150
271	1413	145
272	1417	140
273	1422	134
274	1426	129
275	1430	124
276	1435	119
277	1440	113
278	1444	108
279	1448	103
280	1453	98
281	1457	93
282	1462	87
283	1466	82
284	1471	77
285	1475	72
286	1480	67
287	1484	61
288	1489	56
289	1493	51
290	1497	46
291	1502	41
292	1506	35
293	1510	30
294	1515	25
295	1519	20
296	1523	15
297	1528	10
298	1532	5
299	1536	0
