iter	Passed	Remaining
0	12	375111	24	363022	41	409933	55	409844	71	421055	88	432066	102	4277	7	117	4278	8	128	4159	9	142	4141010	155	4091111	168	4041212	207	4586
13	220	4514
14	233	4435
15	248	4413
16	263	4385
17	276	4331
18	291	4310
19	305	4276
20	324	4314
21	336	4257
22	347	4186
23	358	4120
24	372	4095
25	386	4070
26	401	4056
27	415	4034
28	426	3986
29	440	3960
30	454	3945
31	469	3930
32	485	3925
33	498	3899
34	514	3894
35	528	3873
36	544	3867
37	557	3846
38	574	3844
39	590	3837
40	603	3810
41	616	3784
42	629	3765
43	643	3743
44	657	3727
45	673	3720
46	685	3687
47	700	3676
48	714	3659
49	726	3634
50	743	3630
51	755	3600
52	765	3566
53	776	3536
54	791	3527
55	804	3505
56	821	3502
57	836	3488
58	850	3472
59	865	3460
60	875	3431
61	891	3422
62	908	3419
63	922	3400
64	936	3384
65	948	3364
66	961	3343
67	977	3334
68	992	3323
69	1008	3314
70	1022	3298
71	1036	3281
72	1051	3268
73	1065	3255
74	1086	3260
75	1099	3241
76	1113	3223
77	1129	3213
78	1145	3204
79	1160	3192
80	1176	3179
81	1194	3175
82	1211	3166
83	1225	3151
84	1237	3130
85	1252	3115
86	1269	3109
87	1287	3101
88	1305	3094
89	1318	3077
90	1332	3060
91	1351	3056
92	1365	3038
93	1381	3027
94	1399	3020
95	1420	3019
96	1440	3013
97	1459	3007
98	1477	3000
99	1492	2984
100	1508	2972
101	1520	2952
102	1536	2938
103	1554	2929
104	1568	2912
105	1582	2896
106	1598	2884
107	1616	2874
108	1637	2868
109	1656	2860
110	1672	2848
111	1688	2834
112	1707	2825
113	1722	2810
114	1742	2802
115	1762	2795
116	1781	2786
117	1800	2776
118	1817	2764
119	1832	2748
120	1847	2732
121	1868	2726
122	1881	2707
123	1900	2697
124	1915	2682
125	1928	2662
126	1944	2648
127	1960	2634
128	1977	2621
129	2001	2616
130	2016	2600
131	2032	2587
132	2052	2577
133	2064	2558
134	2079	2541
135	2100	2533
136	2120	2523
137	2137	2508
138	2152	2492
139	2169	2140	140	2189	2141	141	2207	2456
142	2225	2443
143	2240	2427
144	2258	2413
145	2275	2400
146	2292	2386
147	2310	2373
148	2328	2149	149	2342	2150	150	2356	2151	151	2377	2314
152	2395	2301
153	2415	2289
154	2435	2278
155	2457	2268
156	2474	2253
157	2495	2242
158	2513	22281159	2525	22101160	2538	21911161	2558	21791162	2578	21671163	2596	21531164	2614	21381165	2631	21241166	2650	21671167	2668	21681168	2689	20841169	2708	20701170	2727	20571171	2749	20461172	2765	20301173	2782	20141174	2800	20001175	2824	19891176	2841	19741177	2864	19631178	2882	19481179	2902	19351180	2917	19181181	2938	19051182	2956	18901183	2971	18731184	2990	1858185	3093	1896
186	3110	1879
187	3132	1866
1188	3071	1803189	3168	1834
190	3193	1822
191	3228	1816
192	3236	1794
193	3268	1785
194	3289	1771
195	3312	1757
196	3340	1746
197	3362	1732
198	3389	1720
199	3409	1704
2200	3342	16462201	3363	16312202	3382	16162203	3397	15982204	3420	15852205	3440	15692206	3468	15582207	3497	15462208	3512	15292209	3535	15152210	3555	1499
211	3574	14832212	3590	14662213	3611	14512214	3630	14352215	3652	14202216	3672	14042217	3698	1391
218	3722	1376
219	3740	1360
220	3763	1345
221	3787	1330
222	3807	1314
223	3830	1299
224	3854	1284
225	3875	1268
226	3902	1255
227	3924	1239
228	3944	1222
229	3956	1204
230	3977	1188
231	4000	1172
232	4025	1157
233	4041	1140
234	4064	1124
235	4086	1108
236	4111	1092
237	4134	1077
238	4152	1059
239	4180	1045
240	4209	1030
241	4230	1013
242	4250	997
243	4269	979
244	4285	962
245	4305	945
246	4321	927
247	4342	910
248	4360	893
249	4380	876
250	4399	858
251	4416	841
252	4432	823
253	4453	806
254	4471	789
255	4495	772
256	4510	754
257	4526	736
258	4547	719
259	4565	702
260	4580	684
261	4599	667
262	4622	650
263	4643	633
264	4659	615
265	4680	598
266	4693	580
267	4707	562
268	4725	544
269	4737	526
270	4758	509
271	4776	491
272	4795	474
273	4818	457
274	4946	449
275	4964	431
276	4981	413
277	4999	395
278	5018	377
279	5037	359
280	5054	341
281	5073	323
282	5093	305
283	5109	287
284	5125	269
285	5144	251
286	5163	233
287	5177	215
288	5194	197
289	5214	179
290	5232	161
291	5248	143
292	5266	125
293	5286	107
294	5297	89
295	5312	71
296	5329	53
297	5339	35
298	5350	17
299	5261	0
