iter	Logloss
0	0.683485192511	0.673296632122	0.664905149133	0.6560885544	4	0.6482404995	5	0.6404191936	6	0.6331374757	7	0.6258564148	8	0.61855418
9	0.6112779065
10	0.6043337929
11	0.5977025371
12	0.5919519849113	0.585760447
14	0.5791999675
15	0.5724890393116	0.5661090897117	0.5596762731
18	0.554165946
19	0.5493485499
20	0.5432818881
21	0.5383213198
22	0.5322341609
2323	0.5393061132424	0.5347828696
25	0.5302448192626	0.5247601631
27	0.5202739633
28	0.5160014359
29	0.5117741756
30	0.5074029699
31	0.5034386091
32	0.4999999504
33	0.4956356079
34	0.492344338
35	0.4877585495
36	0.4839520774
37	0.4794510184
38	0.4749849098
39	0.4707899264
40	0.4669421854
41	0.4634522032
42	0.4597650653
43	0.4563126673
44	0.4526513039
45	0.449024761
46	0.4456792215
47	0.4426899584
48	0.4395545468
49	0.4363563668
50	0.4334163891
51	0.430176182
52	0.4275427233
53	0.4242309496
54	0.4217313651
55	0.4189166081
56	0.4159442805
57	0.4126914609
58	0.4108046267
59	0.4077833932
60	0.4048512351
61	0.4021361028
62	0.3998065892
63	0.397018122
64	0.3942395992
65	0.391701064
66	0.3889943651
67	0.3865427178
68	0.3834909943
69	0.3811637747
70	0.3790325292
71	0.3765693172	72	0.374856747373	0.3728626037474	0.37055001675	0.3564537173
76	0.3544219982
77	0.3528798981
78	0.3511915779
79	0.3489919224
80	0.346382216
81	0.344475764
82	0.3429764537
83	0.3410029332
84	0.3392518225
85	0.3368910859
86	0.3349869579
87	0.3331064172
88	0.331313049
89	0.3293553795
90	0.327509261
91	0.3260009356
92	0.3246377914
93	0.3234068909
94	0.3219789578
95	0.3198567921
96	0.3181077893
97	0.316078612
98	0.3142375512
99	0.3131742376
100	0.3113483863
101	0.3097770122
102	0.3082588865
103	0.3068362602
104	0104	0.297803105	0105	0.2966049742
106	0.2954964979
107	0.2939171952
108	0.2924452197
109	0.2910270479
110	0.2894439046
111	0.288392013
112	0.2871176415
113	0.2857937792
114	0.284618779
115	0.2831131543
116	0.2819840076
117	0.2805484729
118	0.279003232
119	0.2779374118
120	0.2766553973
121	0.2755177458
122	0.2748246836
123	0.2736577773
124	0.2725922737
125	0.2716151381
126	0.2701814348
127	0.269700056
128	0.2686528569
129	0.2678987471
130	0.2672660817
131	0.2659398186
132	0.2645833639
133	0.2634145363
134	0.261979307
135	0.260916473
136	0.2596959991
137	0.2589489554
138	0.2580802992
139	0.2569705204
140	0.2560636139
1141	0.270808929
142	0.2696156647
143	0.2689097729
144	0.268019681
145	0.2670561357
146	0.2663572668
147	0.2654360428
148	0.2643803827
149	0.2634888863
150	0.2628704768
151	0.2447062342
152	0.2439728438
153	0.2431119978
154	0.2422573666
155	0.2411883794
156	0.240809514
157	0.2397058966
158	0.2389367272
159	0.2379774302
160	0.2370254778
161	0.2362009133
162	0.2352564617
163	0.2344308815
164	0.2339563368
165	0.2329282089
166	0.2321145214
167	0.2308192478
168	0.2301521241
169	0.2294501421
170	0.2285717342
171	0.2275764627
172	0.2267670545
173	0.2261759118
174	0.2252333813
175	0.2246042678
176	0.2236391614
177	0.2229757527
178	0.2223673391
179	0.2216440053
180	0.2208931322
181	0.2203405876
182	0.2196645062
183	0.2191101061
184	0.2184493851
185	0.2178935114
186	0.2173679515
187	0.2166417996
188	0.2160594712
189	0.2154845478
190	0.2147590475
191	0.2139902984
192	0.2131623092
193	0.2128097759
194	0.2118976349
195	0.2113469873
196	0.2104115226
197	0.2095754955
198	0.2086098589
199	0.208060851
200	0.2073454637
201	0.2065997142
202	0.2059565253
203	0.2054032791
204	0.2048768978
205	0.2043560769
206	0.2038175296
207	0.2033921547
208	0.2029320818
209	0.2021427946
210	0.2014503017
211	0.2008379607
212	0.2002695302
213	0.1999476458
214	0.1993506944
215	0.1987629919
216	0.198217	0.21217	0.197850026
146221
219	0.2129621293
220	0.212151792
221	0.2113332431
222	0.2108215325
223	0.2100894939
224	0.2095984434
30096
225	0.1915045838
226	0.191043935
227	0.1907085607
278016
228	0.2038409338
229	0.2032779901
230	0.2025927085
231	0.2018164888
232	0.2014305822
233	0.2008806859
234	0.2004663369
235	0.2000590761
236	0.1994496128
237	0.1989660785
238	0.1982175241
239	0.1976057637
240	0.1974100199
241	0.1964085073
242	0.1959935605
243	0.1957526106
244	0.1952466685
245	0.1949126202
246	0.1945062867
247	0.1942600203
