has from address,has from displayed name,has reply address,has reply displayed name,has return address,from and correspondant address similarity,displayed name and local part similarity of form,displayed name and local part similarity of reply,from has common email provider,correspondant address has common email provider,if sender impersonates something,from suspiciopus level,if reply address impersonates something,reply address suspiciopus level,from full length cotinet,from displayed name length cotinet,from address length cotinet,from local-part length cotinet,from domain length cotinet,correspondant full length cotinet,correspondant displayed name length cotinet,correspondant address length cotinet,correspondant local-part length cotinet,correspondant domain length cotinet,number of receivers (To) cotient,number of CCs cotient,PASS SPF,Subject is empty,Subject has unusual characters,Subject number of words cotient,Subject length cotient,Subject number of digits cotient,Subject number of caps cotient,Subject number of lows cotient,Subject is Fwd,Subject is Re,Subject Authority,Subject Urgency,Subject Scarcity,Subject Social Proof,Subject Liking,Subject Reciprocity,Subject Consistancy,Subject Punctuation,Text is blank,Text has HTML,Text number of headings cotient,Text number of paragraphs cotient,Text number of URLs cotient,Text number of distict URLs cotient,Text number of mailto URLs cotient,Text number of http(s?) URLs cotient,Text number of images cotient,Text number of buttons cotient,Text number of scripts cotient,Text number of words cotient,Text number of characters cotient,Text has unusual characters,Text Authority,Text Urgency,Text Scarcity,Text Social Proof,Text Liking,Text Reciprocity,Text Consistancy,Text Punctuation,Text Grammar,Text Sensitive Information,Attachments total-number cotient,Inline total-number cotient,Attachments variety,Inlines variety,IS PHIS
1,1,0,0,0,0,0.7741935483870968,0,1,0,1,1,0,0,0.022727272727272728,0.06666666666666667,0.038461538461538464,0.0625,0.1111111111111111,0,0,0,0,0,1.0,0,0,0,0,0.5,0.1111111111111111,0,0,0.125,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1.0,0,1.0,0,0
1,1,0,0,1,1.0,0.4,0,0,0,1,1,0,0,0.030303030303030304,0.07142857142857142,0.0625,0.16666666666666666,0.1111111111111111,0.0625,0,0.0625,0.16666666666666666,0.1111111111111111,1.0,0,1,0,0,0.5,0.05263157894736842,0,0.5,0.0625,0,0,1,1,0,1,1,1,1,1,0,1,0,0.3333333333333333,0.125,0.14285714285714285,0,0.125,0.2,0,0,0.006493506493506494,0.0008488964346349745,1,1,1,0,1,1,1,1,1,1,1,0,0.2,0,1.0,1
1,1,0,0,1,0.2777777777777778,0.17647058823529413,0,0,0,1,1,0,0,0.017241379310344827,0.038461538461538464,0.034482758620689655,0.125,0.05,0.012345679012345678,0,0.012658227848101266,0.025,0.02631578947368421,1.0,0,1,0,0,0.16666666666666666,0.027777777777777776,0.5,0.3333333333333333,0.045454545454545456,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0.25,0.25,0,0.25,0.16666666666666666,0,0,0.015384615384615385,0.002364066193853428,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0.8085106382978723,0.36363636363636365,0.4827586206896552,0,0,1,1,1,1,0.025,0.058823529411764705,0.05,0.2,0.07142857142857142,0.02127659574468085,0.058823529411764705,0.037037037037037035,0.08333333333333333,0.07142857142857142,1.0,0,1,0,0,0.14285714285714285,0.019230769230769232,0,0.2,0.025,0,0,1,1,0,1,1,1,1,1,0,1,0.25,0.1111111111111111,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0.1,0,0,0.001314060446780552,0.00048146364949446316,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
1,1,0,0,1,0.36538461538461536,0.19047619047619047,0,0,0,1,1,0,0,0.02702702702702703,0.125,0.038461538461538464,0.07692307692307693,0.08333333333333333,0.0125,0,0.01282051282051282,0.017241379310344827,0.05263157894736842,1.0,0,1,0,0,0.07142857142857142,0.012658227848101266,0.5,0.2,0.017543859649122806,0,0,1,1,0,1,1,1,1,1,0,1,0.5,0.06666666666666667,0.030303030303030304,0.030303030303030304,0,0.030303030303030304,0.043478260869565216,0,0,0.001160092807424594,0.0004510599909788002,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0.7741935483870968,0,1,0,1,1,0,0,0.022727272727272728,0.06666666666666667,0.038461538461538464,0.0625,0.1111111111111111,0,0,0,0,0,1.0,0,0,0,0,1.0,0.25,0,1.0,0.3333333333333333,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0.5,0.5,0.5,0,0,0,0,0.07142857142857142,0.00625,0,1,1,0,1,1,1,1,1,1,1,1.0,0,1.0,0,0
1,1,0,0,1,1.0,0.08163265306122448,0,0,0,1,1,0,0,0.014925373134328358,0.023809523809523808,0.045454545454545456,0.14285714285714285,0.07142857142857142,0.045454545454545456,0,0.045454545454545456,0.14285714285714285,0.07142857142857142,1.0,0,1,0,0,0.14285714285714285,0.023809523809523808,0,0.14285714285714285,0.034482758620689655,0,0,1,1,0,1,1,1,1,1,0,0,0,0.1111111111111111,1.0,1.0,0,1.0,0,0,0,0.00847457627118644,0.0017241379310344827,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,0.8615384615384616,0.18181818181818182,0.12903225806451613,0,0,1,1,1,1,0.021739130434782608,0.06666666666666667,0.03571428571428571,0.14285714285714285,0.05,0.01818181818181818,0.06666666666666667,0.02702702702702703,0.0625,0.05,1.0,0,1,0,0,0.1,0.01818181818181818,0,0.125,0.02631578947368421,0,0,1,1,0,1,1,1,1,1,0,1,0,0.125,1.0,1.0,0,1.0,1.0,0,0,0.008771929824561403,0.0012091898428053204,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1
1,1,0,0,1,1.0,0.5,0,0,0,1,1,0,0,0.025,0.047619047619047616,0.0625,0.14285714285714285,0.125,0.05555555555555555,0,0.0625,0.14285714285714285,0.125,1.0,0,1,0,0,0.16666666666666666,0.0196078431372549,0.14285714285714285,0.09090909090909091,0.045454545454545456,0,0,1,1,0,1,1,1,1,1,0,1,0,1.0,0.09090909090909091,0.09090909090909091,0,0.09090909090909091,0.1111111111111111,0,0,0.004347826086956522,0.0018552875695732839,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,0,1,0.49056603773584906,0.14634146341463414,0,1,1,1,1,1,1,0.018518518518518517,0.047619047619047616,0.03333333333333333,0.05,0.1111111111111111,0.043478260869565216,0,0.043478260869565216,0.07692307692307693,0.1111111111111111,1.0,0,1,0,0,0.16666666666666666,0.029411764705882353,0.5,0.07142857142857142,0.1111111111111111,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0.3333333333333333,1.0,0.3333333333333333,0,0,0,0,0.004464285714285714,0.0006587615283267457,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1
